Library,API Name,Project Support,Change Frequency,G-mean,Likelihood,Impact,Work,Usage Frequency,Revision Support,Change Likelihood,Change Work,Average Statement Change
torch,torch.autograd.Variable,21.00079850944903,6628,373.0861730493748,0.031857879634124654,20.08051374119597,3.24989944512139,208049.0,5.036942263214504,0.004372524869229973,0.4460518499501329,102.01242149337055
torch,torch.eye,2.182592494011179,272,24.365244886334327,0.023331617773202952,26.452966714905934,3.236793630638652,11658.0,0.4815499581719379,0.00017943976530334225,0.02489366554273958,138.72992700729927
torch,torch.matmul,4.950758583976577,1144,75.2573439610328,0.036103133777258815,27.758683729433272,5.203725523141007,31687.0,0.7550140950024253,0.0007547025423052336,0.10877905796219037,144.13500931098696
torch,torch.multinomial.view,0.2661698163428267,21,2.364226330789707,0.025240384615384616,30.11111111111111,3.1393429487179487,832.0,0.03163466878501782,1.385380540944922e-05,0.0017231055305930508,124.37777777777778
torch,torch.nn.Embedding,6.441309555496407,966,78.88158866687158,0.02707474985285462,26.38835725677831,4.641105186299567,35679.0,0.8724138658268248,0.000637275048834664,0.10924054886268983,171.41821112006446
torch,torch.ones,9.315943571998936,1298,109.96406120389791,0.021246992191975903,25.99242697439596,2.969756065597993,61091.0,1.9170609283720799,0.0008562971153078612,0.11968722580412897,139.77301063439677
torch,torch.optim.SGD.step,6.920415224913495,734,71.27120579228684,0.09162401697665709,22.194412107101282,10.563414265665083,8011.0,0.6017616995550057,0.00048422348431122506,0.05582655542428795,115.29088785046729
torch,torch.optim.SGD.zero_grad,6.334841628959276,696,66.4006760037551,0.08942567133496081,22.04780361757106,10.563117835537664,7783.0,0.5427103178229724,0.000459154693570317,0.05423616127807928,118.12176165803109
torch,torch.optim.SGD,15.251530476443973,1884,169.51071770723075,0.07143940543000152,16.850235344458707,7.582409495897409,26372.0,1.6344578872259208,0.0012428842567334443,0.13191679485338154,106.13763440860215
torch,torch.zeros.type,0.7985094490284802,277,14.872360854312577,0.04827466016033461,21.726923076923075,5.722218274928278,5738.0,0.1827780863134363,0.00018273829040083017,0.021660812968704556,118.53461538461538
torch,torch.zeros,20.81447963800905,5167,327.945752052977,0.03068781811810682,22.00706764748305,3.852220838732702,168373.0,4.783864912934361,0.0034086958357440055,0.42789125902719977,125.52931667891256
torch,torch.optim.Adam,26.69683257918552,4188,334.37454275352513,0.06723498531040793,20.33112426035503,7.235411466668725,62289.0,2.9469451454843267,0.0027628446216558726,0.29732017585580445,107.61378816793894
torch,torch.optim.RMSprop,3.2472717593824862,328,32.63594853956992,0.07019045580997219,22.54567901234568,7.782235835587737,4673.0,0.2826030411461592,0.00021638324639520684,0.023991088743981998,110.8731343283582
torch,torch.matmul.size,0.23955283470854402,24,2.3977631311297323,0.009728415079043373,31.21951219512195,1.5387505314047871,2467.0,0.02882269822634957,1.5832920467941963e-05,0.002504304615478137,158.17073170731706
torch,torch.nn.Sigmoid,0.9582113388341761,60,7.5823927839469345,0.0056491855757461636,34.54939341421144,0.8985348960017685,10621.0,0.40422076780856103,3.958230116985491e-05,0.006295788727115515,159.05565217391305
torch,torch.autograd.Variable.cuda,5.4564812350279475,779,65.19661710615645,0.03160628068324745,29.247488584474887,3.7889446454032125,24647.0,0.7641529993180972,0.0005139102101886163,0.06160729124146127,119.87948482060717
torch,torch.multinomial,1.2509981368112857,178,14.922388158482164,0.03525450584274114,25.723342939481267,5.379667177072544,5049.0,0.23269056372979777,0.00011742749347056957,0.017918867878262832,152.59516616314198
torch,torch.nn.Linear,27.495342028213997,6197,412.7815821337505,0.02520232624344219,22.072646290892337,2.846755114269423,245890.0,4.494231945391531,0.004088192005826515,0.46178600293813377,112.95604567495698
torch,torch.nn.Conv2d,23.156774021825925,7027,403.3889575228489,0.03442818927420066,23.991682661548303,3.5959300407766097,204106.0,3.2457170173428285,0.004635747172009507,0.48419109075149686,104.4472601256227
torch,torch.nn.Sequential,27.841362789459673,8493,486.26812991484553,0.057159586496527214,20.611299601711167,5.265547256088512,148584.0,4.705832729931317,0.005602874730592963,0.516137422821872,92.12010755900806
torch,torch.save,32.44610061219058,5456,420.7444889004628,0.06579994693552667,16.524433656957928,7.737620189255198,82918.0,4.303720940041758,0.0035993505863788065,0.4232588180148701,117.59310682783403
torch,torch.utils.data.DataLoader,36.78466861857865,8238,550.4835148120703,0.08679436121120172,16.09092289010322,9.00123943928738,94914.0,4.602492811900259,0.005434649950621079,0.5636147877765384,103.70765235985948
torch,torch.nn.functional.mse_loss.backward,0.9848283204684588,110,10.408223443582028,0.06264236902050115,28.975806451612904,7.040193989271806,1756.0,0.08717108731871577,7.2567552144734e-05,0.008155656505556557,112.38709677419355
torch,torch.nn.functional.mse_loss.item,0.6654245408570668,83,7.4317048441886175,0.0552228875582169,23.282828282828284,6.499008716573587,1503.0,0.0695962713270392,5.4755516618299294e-05,0.0064440052941394455,117.68686868686869
torch,torch.nn.functional.selu,0.21293585307426138,30,2.5274642613156457,0.05917159763313609,27.6875,6.000369822485207,507.0,0.022495764469346008,1.9791150584927456e-05,0.0020069463640028,101.40625
torch,torch.FloatTensor,8.650519031141869,1408,110.36272376055126,0.021582513259143444,23.787047200878156,2.736527185660452,65238.0,1.8812083037490597,0.0009288646674525952,0.11777420839561492,126.79372197309416
torch,torch.nn.AdaptiveAvgPool2d,0.6920415224913495,60,6.443794794178424,0.010148849797023005,29.422764227642276,1.5008209041941085,5912.0,0.2537803429198096,3.958230116985491e-05,0.005853465783802506,147.8808864265928
