Library,API Name,Project Support,Change Frequency,G-mean,Likelihood,Impact,Work,Usage Frequency,Revision Support,Change Likelihood,Change Work,Average Statement Change
torch,torch.eye,2.761061946902655,312,29.350491093568237,0.02676273803396809,26.452966714905934,3.712792693967865,11658.0,0.4815499581719379,0.00020582796608324553,0.028554498710789522,138.72992700729927
torch,torch.multinomial.view,0.2831858407079646,11,1.7649487946644828,0.013221153846153846,30.11111111111111,1.6444177350427351,832.0,0.03163466878501782,7.2567552144734e-06,0.0009025790874535027,124.37777777777778
torch,torch.ones,11.646017699115044,1232,119.78269409772736,0.02016663665679069,25.99242697439596,2.818751519889621,61091.0,1.9170609283720799,0.0008127565840210209,0.11360143466154614,139.77301063439677
torch,torch.zeros.type,1.0619469026548671,129,11.704321870252791,0.02248170094109446,21.726923076923075,2.664859774244577,5738.0,0.1827780863134363,8.510194751518807e-05,0.010087526617194541,118.53461538461538
torch,torch.eye.cuda,0.3893805309734513,15,2.4167556691982273,0.0528169014084507,35.42857142857143,6.814889336016097,284.0,0.024604742388347194,9.895575292463728e-06,0.0012768119434504628,129.02857142857144
torch,torch.matmul,4.2477876106194685,609,50.861602952200165,0.019219238173383408,27.758683729433272,2.7701650730706935,31687.0,0.7550140950024253,0.0004017603568740273,0.05790773277882337,144.13500931098696
torch,torch.nn.MSELoss,6.442477876106195,567,60.439101215622074,0.01913536498936924,27.81028368794326,2.8467136756838354,29631.0,0.7789158447511054,0.0003740527460551289,0.05564676023759126,148.76714801444044
torch,torch.autograd.Variable.cuda,6.6902654867256635,951,79.7649200957169,0.038584817624863064,29.247488584474887,4.625528058765668,24647.0,0.7641529993180972,0.0006273794735422003,0.07520992807526272,119.87948482060717
torch,torch.autograd.Variable,31.46902654867257,8899,529.1907664128665,0.04277357737840605,20.08051374119597,4.363436204305258,208049.0,5.036942263214504,0.005870714968508981,0.5988858498349778,102.01242149337055
torch,torch.nn.Parameter,10.867256637168142,1416,124.04852033873719,0.01988065988065988,24.290507726269315,2.442314081667762,71225.0,1.5662676011782155,0.0009341423076085759,0.11475820852272015,122.84874326750449
torch,torch.randn,10.831858407079647,872,97.18734758688217,0.025161588180978762,24.675963488843813,2.8077372223127477,34656.0,1.3623997356747675,0.0005752627770018914,0.0641925581160346,111.58823529411765
torch,torch.sum,15.964601769911505,1841,171.4375450664384,0.025699727786696446,23.47182006204757,2.924450382628012,71635.0,2.669966045455504,0.0012145169408950482,0.13820358573398295,113.79304897314375
torch,torch.Tensor,15.610619469026549,1894,171.9491589811834,0.02379247534702594,21.36380655226209,2.8614879251066156,79605.0,2.219347763428917,0.00124948130692842,0.15027337930473167,120.26860943934115
torch,torch.arange,6.9734513274336285,861,77.48639617971888,0.01671098344428702,26.83459404942007,2.740227417907762,51523.0,1.3511518534400946,0.0005680060217874179,0.09314027984216003,163.97762747138398
torch,torch.nn.Conv2d,18.548672566371682,4234,280.2411098429667,0.020744123151695687,23.991682661548303,2.1666668269031115,204106.0,3.2457170173428285,0.0027931910525527616,0.2917411524465402,104.4472601256227
torch,torch.nn.Linear,26.4070796460177,4382,340.17028531141517,0.017820976859571354,22.072646290892337,2.0129870761220934,245890.0,4.494231945391531,0.0028908273954384037,0.3265364313175573,112.95604567495698
torch,torch.nn.Sequential,23.079646017699115,3660,290.6398190626653,0.024632531093522855,20.611299601711167,2.269151413785936,148584.0,4.705832729931317,0.0024145203713611496,0.22242587631320518,92.12010755900806
torch,torch.rand,5.8053097345132745,419,49.31961859910376,0.022803962120387503,23.132183908045977,2.935144992141238,18374.0,0.7226764335777405,0.0002764164031694868,0.035578125293554294,128.71206225680933
torch,torch.stack,13.132743362831858,1674,148.27074016602376,0.024619819395829044,22.069176882661996,3.325678959925762,67994.0,2.3585403060829955,0.001104346202638952,0.1491765992082169,135.08137108792846
torch,torch.autograd.Variable.mul.add_,0.21238938053097348,7,1.2193136035150327,0.035,40.708333333333336,4.550000000000001,200.0,0.016871823352009506,4.617935136483073e-06,0.0006003315677427995,130.0
torch,torch.autograd.Variable.mul,0.21238938053097348,7,1.2193136035150327,0.03153153153153153,41.333333333333336,4.074136636636637,222.0,0.016871823352009506,4.617935136483073e-06,0.0005966757024264171,129.20833333333334
torch,torch.nn.Tanh,4.460176991150442,287,35.778077036925524,0.018618228997729483,41.58801498127341,3.8038857386680425,15415.0,0.3676651505458738,0.00018933534059580598,0.038683056374807366,204.3097514340344
torch,torch.set_printoptions,0.2831858407079646,8,1.5051533894137554,0.004784688995215311,45.794117647058826,2.3565318254313468,1672.0,0.02319875710901307,5.277640155980655e-06,0.0025993177410652602,492.5151515151515
torch,torch.zeros,24.035398230088497,4014,310.6092215237263,0.023839926829123434,22.00706764748305,2.9926097245351393,168373.0,4.783864912934361,0.0026480559482632937,0.3324086537130211,125.52931667891256
torch,torch.load,23.115044247787612,1876,208.23982090092565,0.019761513504403153,17.036084452975047,2.462011612325907,94932.0,3.613382167888702,0.0012376066165774636,0.15418868908123737,124.58618677042801
torch,torch.save,19.398230088495573,1516,171.48678320546836,0.018283123085457924,16.524433656957928,2.149969246134692,82918.0,4.303720940041758,0.001000112809558334,0.11760637245427841,117.59310682783403
torch,torchvision.transforms.Compose,11.150442477876107,915,101.00819207993297,0.02429827123775128,18.926056338028168,2.1874664624533278,37657.0,1.784898312114672,0.0006036300928402874,0.05434216166639177,90.02560063016936
torch,torchvision.transforms.ToTensor,10.300884955752213,805,91.06158569550904,0.02065585548598994,23.97465604634323,2.362199420967368,38972.0,0.9652088942628769,0.0005310625406955534,0.06073220385276986,114.35979606700656
