Library,API Name,Project Support,Change Frequency,G-mean,Likelihood,Impact,Work,Usage Frequency,Revision Support,Change Likelihood,Change Work,Average Statement Change
torch,torch.eye.cuda,0.3664036076662909,19,2.6384974030041275,0.06690140845070422,35.42857142857143,8.632193158953722,284.0,0.024604742388347194,1.2534395370454055e-05,0.0016172951283705862,129.02857142857144
torch,torch.eye,4.6223224351747465,549,50.37514284754868,0.04709212557900155,26.452966714905934,6.5330871441934555,11658.0,0.4815499581719379,0.00036217805570417245,0.05024493523148541,138.72992700729927
torch,torch.autograd.Variable.size,3.269447576099211,353,33.972268019121444,0.038706140350877195,25.373493975903614,4.075718631750946,9120.0,0.2868209969841616,0.00023287587188264638,0.02452160099956435,105.29901960784314
torch,torch.autograd.Variable,26.240135287485906,9651,503.2330927706628,0.04638811049320112,20.08051374119597,4.732163479913479,208049.0,5.036942263214504,0.006366813143171162,0.649494025930708,102.01242149337055
torch,torch.from_numpy,24.661781285231115,4574,335.8615601682442,0.04124622390549619,19.68242343541944,5.202227439440419,110895.0,3.1318322097167646,0.0030174907591819394,0.380584493301517,126.12615039281705
torch,torch.multinomial.view,0.3945885005636978,18,2.66506904416125,0.021634615384615384,30.11111111111111,2.6908653846153845,832.0,0.03163466878501782,1.1874690350956473e-05,0.0014769475976511863,124.37777777777778
torch,torch.ones,16.459977452085685,2186,189.68792979591322,0.03578268484719517,25.99242697439596,5.001453589674279,61091.0,1.9170609283720799,0.001442115172621714,0.20156877935887976,139.77301063439677
torch,torch.zeros.type,1.0146561443066515,159,12.701587575762234,0.02771000348553503,21.726923076923075,3.284594605464246,5738.0,0.1827780863134363,0.00010489309810011551,0.012433463039797922,118.53461538461538
torch,torch.autograd.Variable.view,2.1138669673055244,273,24.022607728437983,0.05661551223558689,32.42903225806452,7.889160925048221,4822.0,0.2172247256571224,0.00018009947032283984,0.025096190916378113,139.3462783171521
torch,torch.optim.Adam,17.50281848928974,1407,156.92821803114532,0.02258825795886914,20.33112426035503,2.4308080070685043,62289.0,2.9469451454843267,0.0009282049624330977,0.09988765220370509,107.61378816793894
torch,torch.optim.RMSprop,2.3393461104847804,148,18.60707457801326,0.03167130323132891,22.54567901234568,3.511496657521296,4673.0,0.2826030411461592,9.763634288564212e-05,0.010825247360089439,110.8731343283582
torch,torch.nn.ReLU,21.899661781285232,5420,344.52310061092544,0.04412135815634591,30.83001474926254,5.792216231798917,122843.0,1.8783963331903915,0.003575601205676894,0.4694020358251981,131.27919161676647
torch,torch.nn.functional.selu,0.2536640360766629,66,4.0916776976027505,0.1301775147928994,27.6875,13.200813609467456,507.0,0.022495764469346008,4.35405312868404e-05,0.004415282000806159,101.40625
torch,torch.FloatTensor,15.332581736189402,2685,202.8989451960472,0.041156994389772834,23.787047200878156,5.218448503905053,65238.0,1.8812083037490597,0.0017713079773510074,0.22459073120896741,126.79372197309416
torch,torch.nn.Conv2d,23.22435174746336,7713,423.2368427112469,0.03778918797095627,23.991682661548303,3.9469771459385217,204106.0,3.2457170173428285,0.005088304815384849,0.5314594966509599,104.4472601256227
torch,torch.nn.PixelShuffle,0.7328072153325818,46,5.805956588306424,0.044965786901270774,30.950819672131146,6.711143695014663,1023.0,0.04217955838002376,3.0346430896888765e-05,0.004529204811360648,149.25
torch,torch.nn.functional.mse_loss,3.494926719278467,424,38.494790932982994,0.049216482878699945,24.96050552922591,6.2055773120939435,8615.0,0.4344494513142448,0.0002797149282669747,0.03526852207187574,126.0873786407767
torch,torch.LongTensor,13.500563697857949,1879,159.2719661091526,0.041988826815642456,23.58965344048217,6.332172158248774,44750.0,1.3778655737474428,0.0012395857316359563,0.18693711763109996,150.80612244897958
torch,torch.nn.functional.nll_loss,1.9447576099210824,116,15.019716467059073,0.02733914683007306,17.672727272727272,3.697342182000656,4243.0,0.190511005349774,7.652578226171949e-05,0.01034933549775653,135.239852398524
torch,torch.FloatTensor.uniform_,0.5355129650507328,32,4.1396153059944405,0.0512,30.441860465116278,6.190437209302326,625.0,0.030228683505683696,2.111056062392262e-05,0.002552414062413342,120.90697674418605
torch,torch.load,32.807215332581734,3721,349.39325730834685,0.03919647747861627,17.036084452975047,4.8833396638937625,94932.0,3.613382167888702,0.0024547623775505022,0.3058294840465268,124.58618677042801
torch,torch.mean.item,1.4937993235625704,123,13.554973876706518,0.029803731524109523,23.382882882882882,3.090240544529374,4127.0,0.1546583807267538,8.114371739820256e-05,0.008413496988956357,103.68636363636364
torch,torch.mean,14.909808342728297,2024,173.71658552274766,0.04914768588218153,22.963768115942027,5.42820277910728,41182.0,1.6175860638739115,0.0013352429594631057,0.1474732617262211,110.44676227727075
torch,torch.nn.Linear,30.60879368658399,7658,484.15094965502226,0.031144007483020864,22.072646290892337,3.517903931753307,245890.0,4.494231945391531,0.0050520210393124815,0.5706563192674243,112.95604567495698
torch,torch.nn.MSELoss,6.792559188275085,891,77.79569548987334,0.03006985926900881,27.81028368794326,4.473407204646027,29631.0,0.7789158447511054,0.0005877971723723454,0.08744490894478626,148.76714801444044
torch,torch.autograd.Variable.cuda,7.328072153325817,1291,97.2653131899735,0.052379599951312535,29.247488584474887,6.279239457272848,24647.0,0.7641529993180972,0.0008516791801713782,0.1020988613513819,119.87948482060717
torch,torch.nn.Sequential,27.846674182638104,6443,423.5754026837929,0.04336267700425349,20.611299601711167,3.9945744696783567,148584.0,4.705832729931317,0.00425047944062292,0.3915546232475358,92.12010755900806
