Library,API Name,Param,Value,Param Project Support,Param Change Frequency,Param G-mean,Param Likelihood,Param Impact,Param Work,Param Revision Support,Val Project Support,Val Change Frequency,Val G-mean,Val Likelihood,Val Impact,Val Work,Val Revision Support
torch,torch.eye,0,,0.7410636442894507,31,4.793012932694108,5.297171310520182e-05,14.495575221238939,0.0007678554519143415,0.14009595953334408,,,,,,,
torch,torch.nn.Embedding,1,,2.3103748910200523,118,16.51133662488795,0.00020163426278754242,15.936170212765957,0.0032132779325078566,0.2913500043392554,,,,,,,
torch,torch.nn.Embedding,0,,2.6591107236268527,141,19.363228347344002,0.00024093585638172441,11.936802973977695,0.0028760038469952307,0.33350277092450936,,,,,,,
torch,torch.nn.Embedding,padding_idx,0,1.3949433304272014,97,11.63226130429671,0.00016575019907111538,11.478991596638656,0.0019026451422785176,0.1475346830483889,0.6102877070619006,49,5.468463920154646,8.372948200499643e-05,7.456521739130435,0.0006243307027763864,0.057030213615343606
torch,torch.zeros.type,0,,0.6538796861377506,82,7.322440458159805,0.00014011872498795322,12.766233766233766,0.0017887883982228314,0.09546361844307517,,,,,,,
torch,torch.ones,1,,1.4385353095030515,54,8.813677252609425,9.227330669938381e-05,19.357723577235774,0.0017862011646441697,0.15249383205841877,,,,,,,
torch,torch.ones,0,,3.095030514385353,181,23.668555577046714,0.00030928645393682355,15.336501901140684,0.004743372288799155,0.6521280948189291,,,,,,,
torch,torch.ones,dtype,,0.6538796861377506,21,3.705600276458966,3.588406371642704e-05,13.441558441558442,0.0004823377395649609,0.09546361844307517,,,,,,,
torch,torch.ones,device,,0.6102877070619006,24,3.827127508913913,4.101035853305948e-05,15.16504854368932,0.0006219240779479505,0.1276980870082694,,,,,,,
torch,torch.autograd.Variable,0,torch.torch.zeros,10.72362685265911,720,87.86928549791767,0.0012303107559917842,9.797297297297296,0.012053720244514102,3.1193047273087937,1.0897994768962511,57,7.8815334918457545,9.739960151601626e-05,12.941747572815533,0.0012605210565131036,0.38309426102480815
torch,torch.autograd.Variable,0,torch.torch.ones,10.72362685265911,720,87.86928549791767,0.0012303107559917842,9.797297297297296,0.012053720244514102,3.1193047273087937,0.26155187445510025,32,2.8930364640915274,5.46804780440793e-05,23.86,0.0013046762061317322,0.06198936262537349
torch,torch.autograd.Variable,0,torch.torch.from_numpy,10.72362685265911,720,87.86928549791767,0.0012303107559917842,9.797297297297296,0.012053720244514102,3.1193047273087937,0.8282476024411508,43,5.967800843272962,7.347689237173156e-05,10.454545454545455,0.0007681675111590119,0.15001425755340383
torch,torch.autograd.Variable,0,torch.torch.LongTensor,10.72362685265911,720,87.86928549791767,0.0012303107559917842,9.797297297297296,0.012053720244514102,3.1193047273087937,0.7410636442894507,32,4.869706009325658,5.46804780440793e-05,9.950819672131148,0.0005441155766025596,0.1512540448059113
torch,torch.autograd.Variable,0,torch.torch.randn,10.72362685265911,720,87.86928549791767,0.0012303107559917842,9.797297297297296,0.012053720244514102,3.1193047273087937,0.5231037489102005,46,4.905381988170669,7.860318718836399e-05,15.873949579831933,0.0012477430302421813,0.1475346830483889
torch,torch.autograd.Variable,volatile,True,5.187445510026155,306,39.84166570398386,0.0005228820712965083,9.27457627118644,0.0048495096510754124,0.36573723948970355,4.446381865736704,231,32.048622606676545,0.00039472470088069744,9.114678899082568,0.0035977889020639715,0.2702736210466284
torch,torch.autograd.Variable,requires_grad,False,2.528334786399302,225,23.85110745730359,0.00038447211124743256,9.988,0.003840107447139356,0.30994681312686745,1.918047079337402,175,18.32097810937084,0.00029903386430355866,10.392045454545455,0.0031075735102909594,0.21820255644131467
torch,torch.autograd.Variable,requires_grad,True,2.528334786399302,225,23.85110745730359,0.00038447211124743256,9.988,0.003840107447139356,0.30994681312686745,0.7410636442894507,32,4.869706009325658,5.46804780440793e-05,8.326923076923077,0.0004553201344824296,0.06446893713038843
torch,torch.zeros,0,n,9.67741935483871,722,83.58885556217132,0.0012337282858695393,11.793055555555556,0.014549426215719804,1.7852936436107563,0.13077593722755013,63,2.8703456316854346,0.00010765219114928113,27.75,0.0029873483043925514,0.024795745050149396
torch,torch.zeros,0,self.batch_size,9.67741935483871,722,83.58885556217132,0.0012337282858695393,11.793055555555556,0.014549426215719804,1.7852936436107563,0.4795117698343505,30,3.792802802022604,5.126294816632434e-05,9.89655172413793,0.0005073264180598306,0.03595383032271662
torch,torch.zeros,0,self.shape,9.67741935483871,722,83.58885556217132,0.0012337282858695393,11.793055555555556,0.014549426215719804,1.7852936436107563,0.08718395815170009,40,1.867447007566213,6.835059755509912e-05,21.63157894736842,0.0014785313471129336,0.023555957797641924
torch,torch.zeros,0,1,9.67741935483871,722,83.58885556217132,0.0012337282858695393,11.793055555555556,0.014549426215719804,1.7852936436107563,1.9616390584132521,77,12.29008574005163,0.00013157490029356582,11.657894736842104,0.0015338863376328858,0.14133574678585153
torch,torch.zeros,0,batch_size,9.67741935483871,722,83.58885556217132,0.0012337282858695393,11.793055555555556,0.014549426215719804,1.7852936436107563,0.6974716652136007,52,6.022335642515056,8.885577682162886e-05,14.591836734693878,0.0012965689883156048,0.12149915074573205
torch,torch.zeros,1,1,6.233653007846556,348,46.57586549631259,0.0005946501987293623,13.668195718654435,0.008127795300369679,0.8108208631398852,0.959023539668701,36,5.875784835072949,6.151553779958921e-05,10.928571428571429,0.0006722769488097964,0.08678510767552287
torch,torch.zeros,2,,3.051438535309503,140,20.66885083751223,0.00023922709144284695,16.65909090909091,0.003985305864263791,0.327303834661972,,,,,,,
